dataset,populationSize,numGenerations,numFeatures,avgNumSize2ShapeletsInEvolved,tournamentSize,tournamentP,epsilon,evolvedRFAccuracy,exhaustiveRFAccuracy,avgEvolvedTime,avgExhaustiveTime
HEPATITIS,500,200,75,75.0,2,1.0,5,0.8133877551020408,0.0,5.3513319009E9,5.3513319009E9
CONTEXT,500,200,75,75.0,2,1.0,5,0.9958333333333333,0.0,1.0432696517E9,1.0432696517E9
BLOCKS,500,200,75,75.0,2,1.0,5,1.0,0.0,4.994555841E8,4.994555841E8
SKATING,500,200,75,75.0,2,1.0,5,0.9735849056603774,0.0,3.9659062809E9,3.9659062809E9
AUSLAN2,500,200,75,75.0,2,1.0,5,0.43,0.0,1.109815855E9,1.109815855E9
PIONEER,500,200,75,75.0,2,1.0,5,0.9875,0.0,3.593634554E8,3.593634554E8
AUSLAN2,500,200,75,75.0,2,1.0,5,0.45999999999999996,0.0,1.1137051539E9,1.1137051539E9
PIONEER,500,200,75,75.0,2,1.0,5,0.98125,0.0,3.679802269E8,3.679802269E8
HEPATITIS,500,200,75,75.0,2,1.0,5,0.8133877551020408,0.0,5.4316485802E9,5.4316485802E9
CONTEXT,500,200,75,75.0,2,1.0,5,0.9958333333333333,0.0,1.0358606578E9,1.0358606578E9
BLOCKS,500,200,75,75.0,2,1.0,5,1.0,0.0,5.580758535E8,5.580758535E8
SKATING,500,200,75,75.0,2,1.0,5,0.9660377358490566,0.0,3.8869384718E9,3.8869384718E9
AUSLAN2,500,200,75,1000.0,2,1.0,5,0.475,0.0,4.0919571038E9,4.0919571038E9
PIONEER,500,200,75,1000.0,2,1.0,5,0.9875,0.0,1.0273833486E9,1.0273833486E9
HEPATITIS,500,200,75,1000.0,2,1.0,5,0.8053877551020407,0.0,9.5059331848E9,9.5059331848E9
CONTEXT,500,200,75,1000.0,2,1.0,5,0.9916666666666668,0.0,2.2877278334E9,2.2877278334E9
BLOCKS,500,200,75,1000.0,2,1.0,5,1.0,0.0,1.4277970785E9,1.4277970785E9
SKATING,500,200,75,1000.0,2,1.0,5,0.9641509433962264,0.0,7.8269711656E9,7.8269711656E9
AUSLAN2,500,200,75,75.0,2,1.0,5,0.41500000000000004,0.0,2.0016285922E9,2.0016285922E9
AUSLAN2,500,200,75,75.0,2,1.0,5,0.40499999999999997,0.0,3.0368849046E9,3.0368849046E9
AUSLAN2,500,200,75,75.0,2,1.0,5,0.45499999999999996,0.0,2.9875059676E9,2.9875059676E9
